2352824,Albuquerque,United States,35.10503,-106.647179
2357024,Atlanta,United States,33.763191,-84.423058
2367105,Boston,United States,42.358631,-71.056702
2371464,Buffalo,United States,42.896198,-78.875999
2379574,Chicago,United States,41.884151,-87.632408
2380358,Cincinnati,United States,39.14127,-84.505188
2391585,Detroit,United States,42.33168,-83.04792
2423945,Honolulu,United States,21.45767,-157.97139
2424766,Houston,United States,29.775419,-95.381889
2436704,Las Vegas,United States,36.171909,-115.139969
2442047,Los Angeles,United States,34.053501,-118.245003
2443945,Madison,United States,43.072948,-89.386688
2450022,Miami,United States,25.782551,-80.221748
2452078,Minneapolis,United States,44.979031,-93.264931
2458833,New Orleans,United States,30.068871,-89.931358
2459115,New York,United States,40.71455,-74.007118
2466256,Orlando,United States,28.479321,-81.344292
2471217,Philadelphia,United States,40.007629,-75.133957
2471390,Phoenix,United States,33.558311,-112.08075
2475687,Portland,United States,45.536701,-122.650841
2487796,San Antonio,United States,29.460711,-98.521606
2487889,San Diego,United States,32.831699,-117.122002
2487956,San Francisco,United States,37.747398,-122.439217
2488042,San Jose,United States,37.3386,-121.886002
2490383,Seattle,United States,47.603561,-122.329437
2514815,Washington,United States,38.904758,-77.016251
12519786,Dallas-Fort Worth International Airport,United States,32.874901,-97.043503
15015370,Osaka-shi,Japan,34.677471,135.503235
15015372,Kyoto-shi,Japan,35.098129,135.718933
20070171,Chongqing,China,30.186581,107.602493
23424948,Singapore,Singapore,1.36558,103.827713
24865698,Hong Kong,Hong Kong,22.4112,4
